"","yr","mnth","weekday","workingday","weathersit","temp","hum","windspeed","cnt","decicion_predicted","linear_predicted","rf_predict"
"4","2011","1","tue","1","clear or partly cloudy",0.2,0.590435,0.160296,1562,1627.47222222222,1457.93819205025,1682.79055567983
"14","2011","1","fri","1","clear or partly cloudy",0.16087,0.537826,0.126548,1421,1627.47222222222,1498.90287025374,1769.96803737206
"25","2011","1","tue","1","mist or few clouds",0.223478,0.616957,0.129796,1985,1627.47222222222,1148.07139475289,1644.28288665767
"27","2011","1","thu","1","clear or partly cloudy",0.195,0.6875,0.113837,431,1627.47222222222,1515.91211333512,1844.30502637372
"28","2011","1","fri","1","mist or few clouds",0.203478,0.793043,0.1233,1167,1627.47222222222,861.071183765364,1738.38970735616
"31","2011","1","mon","1","mist or few clouds",0.180833,0.60375,0.187192,1501,1627.47222222222,684.743702438936,1569.99353008651
"41","2011","2","thu","1","clear or partly cloudy",0.144348,0.437391,0.221935,1538,1627.47222222222,1485.39501108803,1741.56021321235
"57","2011","2","sat","0","clear or partly cloudy",0.2825,0.537917,0.186571,1969,1627.47222222222,2077.13480372178,2043.3850588058
"64","2011","3","sat","0","mist or few clouds",0.384167,0.789167,0.251871,2077,1627.47222222222,2137.81637627453,2439.41647906404
"67","2011","3","tue","1","clear or partly cloudy",0.2925,0.420833,0.12065,2133,1627.47222222222,3060.33003556171,2657.85649831794
"70","2011","3","fri","1","mist or few clouds",0.316522,0.649565,0.23297,1977,1627.47222222222,2020.50208578746,2155.99245707402
"74","2011","3","tue","1","mist or few clouds",0.317391,0.655652,0.184309,2056,1627.47222222222,2159.18212189325,2136.90971786067
"96","2011","4","wed","1","clear or partly cloudy",0.390833,0.470833,0.263063,2808,2979.13114754098,3501.39362981304,3654.69060861227
"99","2011","4","sat","0","mist or few clouds",0.3425,0.8775,0.133083,2455,2979.13114754098,2781.54792909281,2682.26760352593
"101","2011","4","mon","1","mist or few clouds",0.595652,0.716956,0.324474,3348,4436.05660377359,3167.67055969485,3765.45583544302
"104","2011","4","thu","1","clear or partly cloudy",0.4675,0.540417,0.1107,3267,4436.05660377359,4242.30597439768,4199.10354045797
"105","2011","4","fri","0","clear or partly cloudy",0.446667,0.67125,0.226375,3126,4436.05660377359,2857.29209010793,3893.22696280766
"106","2011","4","sat","0","light snow or rain",0.430833,0.888333,0.340808,795,2979.13114754098,934.256351105338,2189.92526264893
"109","2011","4","tue","1","mist or few clouds",0.505833,0.665833,0.157971,3204,4436.05660377359,3540.79753178644,3806.95144864949
"114","2011","4","sun","0","mist or few clouds",0.581667,0.810833,0.192175,4191,4436.05660377359,3254.99123671867,3823.56574432587
"117","2011","4","wed","1","mist or few clouds",0.62,0.835417,0.3122,3872,4436.05660377359,3297.14362836614,3307.14790181287
"118","2011","4","thu","1","mist or few clouds",0.6175,0.700833,0.320908,4058,4436.05660377359,3470.3612268496,3786.2013928508
"120","2011","4","sat","0","clear or partly cloudy",0.4725,0.503333,0.235075,5312,4436.05660377359,3959.75615498816,4301.01314023716
"124","2011","5","wed","1","mist or few clouds",0.414167,0.737083,0.328996,2633,2979.13114754098,2924.03719662949,3252.55726992857
"126","2011","5","fri","1","clear or partly cloudy",0.479167,0.59,0.228246,4608,4436.05660377359,4172.50753098491,4555.71806726766
"136","2011","5","mon","1","clear or partly cloudy",0.5775,0.787917,0.126871,3958,4436.05660377359,4494.24780469177,4466.884979431
"146","2011","5","thu","1","clear or partly cloudy",0.708333,0.6775,0.199642,4677,4436.05660377359,5118.72855073718,4729.67744580773
"158","2011","6","tue","1","clear or partly cloudy",0.7075,0.597917,0.187808,4833,4436.05660377359,4951.09231365626,4787.56716317167
"164","2011","6","mon","1","clear or partly cloudy",0.635,0.494583,0.30535,5020,4436.05660377359,4293.78711482,4840.30326422467
"171","2011","6","mon","1","mist or few clouds",0.635,0.74625,0.155475,4010,4436.05660377359,3969.39198022674,4499.48017517471
"176","2011","6","sat","0","clear or partly cloudy",0.695,0.483333,0.209571,5202,4436.05660377359,5101.43490426522,5130.14189665673
"178","2011","6","mon","1","mist or few clouds",0.6825,0.658333,0.107588,4708,4436.05660377359,4440.78329335847,4654.98038512893
"183","2011","7","sat","0","clear or partly cloudy",0.738333,0.444583,0.115062,5119,4436.05660377359,5071.55782002711,4990.49524389354
"189","2011","7","fri","1","mist or few clouds",0.709167,0.757917,0.225129,4040,4436.05660377359,3592.33615295328,4344.32610734072
"195","2011","7","thu","1","clear or partly cloudy",0.680833,0.47625,0.240667,5084,4436.05660377359,4327.99589907645,4842.78422035367
"196","2011","7","fri","1","clear or partly cloudy",0.663333,0.59125,0.182833,5538,4436.05660377359,4244.20602607021,4730.35664446517
"200","2011","7","tue","1","clear or partly cloudy",0.776667,0.650417,0.1306,4541,4436.05660377359,4777.42583762159,4468.85062496172
"219","2011","8","sun","0","clear or partly cloudy",0.7425,0.752917,0.201487,3785,4436.05660377359,4376.31633359322,4512.02425280575
"223","2011","8","thu","1","clear or partly cloudy",0.7175,0.42375,0.164796,4792,4436.05660377359,5190.92602493792,5035.08163427942
"224","2011","8","fri","1","clear or partly cloudy",0.708333,0.415,0.125621,4905,4436.05660377359,5250.72494634688,5078.98923765559
"225","2011","8","sat","0","mist or few clouds",0.685833,0.729583,0.211454,4150,4436.05660377359,4072.24536968428,4377.38472046734
"230","2011","8","thu","1","clear or partly cloudy",0.711667,0.654583,0.233208,3805,4436.05660377359,4623.6289946588,4700.83135933807
"231","2011","8","fri","1","mist or few clouds",0.685,0.722917,0.139308,4153,4436.05660377359,4216.98874628518,4503.73738948049
"236","2011","8","wed","1","clear or partly cloudy",0.673333,0.605,0.253108,5130,4436.05660377359,4445.41505834871,4697.04993769515
"258","2011","9","thu","1","mist or few clouds",0.5775,0.709167,0.271146,3659,4436.05660377359,4195.66822350613,4323.37133140535
"268","2011","9","sun","0","mist or few clouds",0.634167,0.845,0.0503792,5010,4436.05660377359,4621.92387688689,4426.07350854484
"282","2011","10","sun","0","clear or partly cloudy",0.540833,0.7275,0.06345,5511,4436.05660377359,4758.71537350777,4800.58054830737
"285","2011","10","wed","1","light snow or rain",0.543333,0.90625,0.24815,2416,2306.85714285714,2252.87109437263,2624.62711424018
"299","2011","10","wed","1","mist or few clouds",0.484167,0.720417,0.148642,3894,4436.05660377359,4105.08790944797,4229.57971893815
"301","2011","10","fri","1","mist or few clouds",0.330833,0.585833,0.229479,3747,2979.13114754098,3385.98736665168,3147.71687695733
"308","2011","11","fri","1","mist or few clouds",0.403333,0.6225,0.271779,4046,2979.13114754098,2783.51925819997,3219.99325275716
"319","2011","11","tue","1","mist or few clouds",0.53,0.68875,0.199633,4195,4436.05660377359,3426.40187006681,3855.09115947258
"330","2011","11","sat","0","clear or partly cloudy",0.375833,0.681667,0.0684208,3068,2979.13114754098,3824.29547814325,3662.46635001231
"333","2011","11","tue","1","mist or few clouds",0.458333,0.830833,0.258092,2914,4436.05660377359,2747.41173034665,3123.36845927521
"335","2011","12","thu","1","clear or partly cloudy",0.3125,0.524583,0.220158,3727,2979.13114754098,2899.46490338135,2591.05644249759
"344","2011","12","sat","0","clear or partly cloudy",0.275,0.5075,0.233221,3190,2979.13114754098,2782.30405208389,2234.65566914639
"347","2011","12","tue","1","clear or partly cloudy",0.2825,0.59,0.14055,3523,2979.13114754098,2888.80704936803,2810.28451235366
"349","2011","12","thu","1","mist or few clouds",0.4225,0.634167,0.268042,3709,2979.13114754098,2568.41802057586,2978.578048535
"353","2011","12","mon","1","clear or partly cloudy",0.276667,0.6375,0.172896,3403,2979.13114754098,2573.12394189052,2627.06040036326
"365","2011","12","sat","0","clear or partly cloudy",0.41,0.615833,0.220154,2485,2979.13114754098,3223.0517196319,3089.81712337399
